job_id,industry,job_title,skills_required,experience_level,posted_date,company_size,salary_range_usd,salary_min,salary_max,salary_avg,year
23,E-Commerce,Nlp Engineer,"Cuda, Fastapi, Scikit-Learn, Mlflow, Hugging Face",Mid,2024-11-25,Startup,74317-148899,74317,148899,111608.0,2024
24,Tech,Nlp Engineer,"Pytorch, Cuda, Hugging Face, Flask, C++",Senior,2023-12-06,Mid,68115-125323,68115,125323,96719.0,2023
25,Healthcare,Nlp Engineer,"Python, Reinforcement Learning, Mlflow",Mid,2025-06-13,Mid,89840-109693,89840,109693,99766.5,2025
26,Finance,Nlp Engineer,"Pytorch, Reinforcement Learning, Fastapi, Power Bi, Python, R",Mid,2024-12-20,Mid,107786-126713,107786,126713,117249.5,2024
27,Education,Quant Researcher,"Azure, Flask, Fastapi, Hugging Face, Power Bi, Python",Senior,2025-01-02,Large,44309-77284,44309,77284,60796.5,2025
28,Healthcare,Data Analyst,"R, Python, Pandas",Entry,2025-02-28,Startup,124616-172767,124616,172767,148691.5,2025
29,Finance,Data Analyst,"Flask, Hugging Face, Pandas, Python, Scikit-Learn, Keras",Mid,2025-01-31,Startup,142616-216391,142616,216391,179503.5,2025
30,Finance,Data Analyst,"Scikit-Learn, Sql, Azure",Entry,2024-06-07,Startup,70932-161568,70932,161568,116250.0,2024
31,Tech,Quant Researcher,"Keras, Excel, Tensorflow",Senior,2024-06-27,Startup,54565-94461,54565,94461,74513.0,2024
32,Healthcare,Data Scientist,"Hugging Face, Scikit-Learn, C++, Excel, Azure",Entry,2023-09-22,Mid,112660-179478,112660,179478,146069.0,2023
33,Tech,Ai Product Manager,"Keras, Pytorch, Aws, Fastapi, Cuda",Mid,2024-09-30,Startup,55330-104941,55330,104941,80135.5,2024
34,Finance,Nlp Engineer,"Mlflow, Keras, Sql, Gcp, Power Bi",Senior,2023-11-25,Startup,110439-183071,110439,183071,146755.0,2023
35,Automotive,Computer Vision Engineer,"Gcp, C++, Excel",Entry,2024-04-01,Large,97714-134140,97714,134140,115927.0,2024
36,Finance,Computer Vision Engineer,"Pytorch, Langchain, R",Mid,2023-12-25,Startup,87250-156869,87250,156869,122059.5,2023
37,Retail,Ai Researcher,"Excel, Sql, Python",Entry,2024-11-16,Mid,77074-163272,77074,163272,120173.0,2024
38,E-Commerce,Ml Engineer,"Sql, Hugging Face, Tensorflow",Mid,2025-05-14,Startup,116061-159814,116061,159814,137937.5,2025
39,Retail,Data Scientist,"Pytorch, Power Bi, Aws, Fastapi",Senior,2024-06-10,Mid,87411-136106,87411,136106,111758.5,2024
40,Automotive,Data Analyst,"Power Bi, Pytorch, Gcp, Cuda, Keras, Scikit-Learn",Entry,2025-06-27,Mid,88562-159008,88562,159008,123785.0,2025
41,E-Commerce,Quant Researcher,"Numpy, Aws, Excel, Sql, Keras",Senior,2025-02-08,Mid,41935-95608,41935,95608,68771.5,2025
42,E-Commerce,Nlp Engineer,"R, Power Bi, Cuda, Mlflow",Mid,2023-11-10,Startup,126443-145937,126443,145937,136190.0,2023
43,Healthcare,Ai Product Manager,"Numpy, Sql, Python, Reinforcement Learning, Langchain",Entry,2024-09-05,Large,99978-189975,99978,189975,144976.5,2024
44,Education,Quant Researcher,"Hugging Face, Flask, Tensorflow, Excel, Sql",Entry,2025-03-11,Large,65214-151832,65214,151832,108523.0,2025
45,Automotive,Quant Researcher,"Hugging Face, Pandas, Cuda, Langchain, Fastapi",Mid,2025-03-16,Mid,71101-158421,71101,158421,114761.0,2025
46,Healthcare,Ml Engineer,"Langchain, Aws, Gcp",Entry,2025-02-14,Startup,119200-129563,119200,129563,124381.5,2025
47,Finance,Data Scientist,"Scikit-Learn, Pytorch, Flask, Azure",Mid,2024-08-04,Startup,122083-203812,122083,203812,162947.5,2024
48,Automotive,Computer Vision Engineer,"Gcp, Tensorflow, Power Bi",Entry,2025-02-21,Mid,144773-159408,144773,159408,152090.5,2025
49,Education,Nlp Engineer,"Tensorflow, Langchain, Pytorch, Power Bi, R",Entry,2024-03-19,Mid,78317-161397,78317,161397,119857.0,2024
50,Finance,Nlp Engineer,"Power Bi, Cuda, C++, Pandas, Sql, Aws",Mid,2024-05-07,Large,75575-120477,75575,120477,98026.0,2024
51,E-Commerce,Ai Product Manager,"Tensorflow, Keras, Pytorch, Aws, Scikit-Learn",Entry,2023-09-27,Large,133185-231638,133185,231638,182411.5,2023
52,E-Commerce,Computer Vision Engineer,"Azure, Keras, Scikit-Learn, Hugging Face, Excel, R",Entry,2025-05-30,Mid,73140-164506,73140,164506,118823.0,2025
53,Finance,Data Scientist,"Keras, Pandas, Python, Fastapi, Cuda, Scikit-Learn",Mid,2025-05-17,Large,69031-115150,69031,115150,92090.5,2025
54,Tech,Quant Researcher,"R, Sql, Python, Pytorch",Mid,2024-11-09,Large,49382-141727,49382,141727,95554.5,2024
55,Healthcare,Quant Researcher,"Keras, Excel, Fastapi, Azure, R, Pytorch",Senior,2024-11-10,Startup,135916-233596,135916,233596,184756.0,2024
56,Tech,Ml Engineer,"Power Bi, Langchain, Flask, Excel, Sql, Cuda",Senior,2025-04-23,Startup,149271-215582,149271,215582,182426.5,2025
57,Education,Data Analyst,"Aws, Excel, Azure",Entry,2023-11-16,Mid,56348-123497,56348,123497,89922.5,2023
58,Retail,Ml Engineer,"Excel, Aws, Keras, Azure, Fastapi, R",Senior,2025-02-11,Large,69159-139847,69159,139847,104503.0,2025
59,Tech,Ai Researcher,"Fastapi, C++, Excel, Flask, Pandas",Senior,2025-06-21,Large,78305-162525,78305,162525,120415.0,2025
60,Finance,Ai Product Manager,"Tensorflow, C++, Sql, Hugging Face, Flask, Power Bi",Mid,2023-09-25,Startup,64238-115477,64238,115477,89857.5,2023
61,Finance,Data Analyst,"Power Bi, Excel, Gcp",Senior,2024-06-27,Mid,53583-148644,53583,148644,101113.5,2024
62,Retail,Ai Product Manager,"Python, Fastapi, Scikit-Learn, Hugging Face, Power Bi, Flask",Entry,2024-05-08,Startup,50457-126635,50457,126635,88546.0,2024
63,Retail,Computer Vision Engineer,"Hugging Face, Keras, Scikit-Learn",Mid,2024-10-26,Large,97883-172449,97883,172449,135166.0,2024
64,E-Commerce,Ai Product Manager,"Reinforcement Learning, Langchain, Python",Entry,2025-02-17,Startup,94965-141198,94965,141198,118081.5,2025
65,E-Commerce,Ai Researcher,"Azure, Pandas, Power Bi, Mlflow",Entry,2025-01-06,Startup,81202-154117,81202,154117,117659.5,2025
66,Retail,Ai Researcher,"C++, Reinforcement Learning, Numpy, Azure, Mlflow, Flask",Mid,2023-12-19,Large,106117-199125,106117,199125,152621.0,2023
67,Automotive,Ai Product Manager,"Langchain, Fastapi, Sql",Senior,2024-04-08,Large,137229-193525,137229,193525,165377.0,2024
68,Retail,Data Analyst,"Numpy, Python, Azure, Gcp, C++, Scikit-Learn",Senior,2024-12-21,Startup,40995-54162,40995,54162,47578.5,2024
69,Healthcare,Data Analyst,"Power Bi, Aws, Numpy, Cuda, Mlflow",Mid,2023-12-09,Mid,129140-193460,129140,193460,161300.0,2023
70,Education,Data Analyst,"Langchain, Pytorch, Flask",Mid,2025-06-15,Mid,86690-120765,86690,120765,103727.5,2025
71,Retail,Ml Engineer,"Flask, Scikit-Learn, Numpy",Entry,2025-03-12,Mid,85816-149983,85816,149983,117899.5,2025
72,Healthcare,Quant Researcher,"Sql, Fastapi, Langchain, Scikit-Learn, Numpy, Tensorflow",Senior,2024-02-12,Startup,60805-99890,60805,99890,80347.5,2024
73,Education,Data Analyst,"Azure, Excel, Tensorflow",Senior,2025-05-02,Large,118377-137651,118377,137651,128014.0,2025
74,Automotive,Nlp Engineer,"C++, Mlflow, Cuda, Hugging Face",Mid,2023-11-28,Large,81382-175328,81382,175328,128355.0,2023
75,Automotive,Ml Engineer,"Mlflow, Numpy, R, C++, Pytorch",Senior,2025-09-09,Startup,132555-209536,132555,209536,171045.5,2025
76,Automotive,Ai Researcher,"R, Python, Flask",Mid,2023-12-06,Mid,54185-86768,54185,86768,70476.5,2023
77,E-Commerce,Ai Researcher,"Fastapi, Hugging Face, Pytorch",Mid,2025-07-03,Startup,101020-182230,101020,182230,141625.0,2025
78,E-Commerce,Nlp Engineer,"Pandas, Flask, Fastapi, Reinforcement Learning",Mid,2024-02-21,Startup,49529-68621,49529,68621,59075.0,2024
79,Tech,Quant Researcher,"Reinforcement Learning, Flask, Numpy, Langchain",Entry,2024-10-12,Startup,88756-103530,88756,103530,96143.0,2024
80,Healthcare,Ml Engineer,"Aws, Tensorflow, Flask, Power Bi",Senior,2025-01-20,Large,108574-194850,108574,194850,151712.0,2025
81,Education,Ai Researcher,"Reinforcement Learning, Python, Pandas, Tensorflow",Mid,2025-08-03,Large,111184-166588,111184,166588,138886.0,2025
82,Finance,Data Analyst,"R, C++, Gcp, Hugging Face, Langchain, Tensorflow",Entry,2024-01-14,Large,120456-210505,120456,210505,165480.5,2024
83,Finance,Ai Product Manager,"Flask, Azure, C++, Excel",Entry,2025-09-17,Mid,86740-124608,86740,124608,105674.0,2025
84,Education,Data Analyst,"Mlflow, Hugging Face, Python, Scikit-Learn",Entry,2025-04-25,Mid,78116-122008,78116,122008,100062.0,2025
85,E-Commerce,Computer Vision Engineer,"Fastapi, Sql, Flask, Cuda, C++, Scikit-Learn",Mid,2024-11-01,Startup,42962-75277,42962,75277,59119.5,2024
86,Tech,Data Analyst,"Langchain, Fastapi, Pytorch, Cuda, Aws",Senior,2024-03-21,Large,51640-64834,51640,64834,58237.0,2024
87,Education,Quant Researcher,"C++, Power Bi, Numpy",Mid,2024-09-10,Large,98118-167073,98118,167073,132595.5,2024
88,Finance,Quant Researcher,"Fastapi, Scikit-Learn, Langchain",Mid,2023-11-16,Mid,140819-222611,140819,222611,181715.0,2023
89,Finance,Ai Researcher,"Flask, Python, Power Bi, Cuda",Entry,2025-03-23,Startup,82496-127505,82496,127505,105000.5,2025
90,Finance,Ai Researcher,"Python, Sql, C++, Fastapi",Entry,2023-10-17,Startup,124249-174855,124249,174855,149552.0,2023
91,Automotive,Nlp Engineer,"Tensorflow, Power Bi, Fastapi, Langchain, Scikit-Learn, Python",Mid,2023-10-19,Mid,81426-145890,81426,145890,113658.0,2023
92,Tech,Data Scientist,"Gcp, Langchain, Keras",Entry,2025-03-21,Large,51104-130405,51104,130405,90754.5,2025
93,Finance,Nlp Engineer,"Excel, Tensorflow, Pandas, Cuda",Entry,2025-08-26,Startup,143177-155682,143177,155682,149429.5,2025
94,Education,Nlp Engineer,"Fastapi, Pytorch, Cuda, Flask, Scikit-Learn",Mid,2025-07-13,Large,139393-162837,139393,162837,151115.0,2025
95,Healthcare,Ml Engineer,"Hugging Face, Python, Fastapi, Cuda, Gcp",Entry,2024-10-10,Mid,111746-137892,111746,137892,124819.0,2024
96,Healthcare,Computer Vision Engineer,"Pytorch, Mlflow, Scikit-Learn, Excel, Pandas",Senior,2025-08-09,Startup,107083-124486,107083,124486,115784.5,2025
97,Education,Ai Researcher,"Pandas, R, Fastapi, Aws, Mlflow, Python",Senior,2024-11-15,Startup,126865-190621,126865,190621,158743.0,2024
98,Finance,Computer Vision Engineer,"Python, Sql, Power Bi, Scikit-Learn, Fastapi",Mid,2023-12-18,Large,127896-227744,127896,227744,177820.0,2023
99,Healthcare,Data Analyst,"Keras, Numpy, Excel, C++, Pandas",Entry,2024-05-22,Large,133789-170501,133789,170501,152145.0,2024
100,Retail,Computer Vision Engineer,"Keras, Power Bi, Mlflow, Aws",Mid,2025-09-03,Mid,126422-179630,126422,179630,153026.0,2025
101,Healthcare,Ml Engineer,"Pandas, Mlflow, Hugging Face, Sql",Entry,2025-07-22,Startup,53156-131761,53156,131761,92458.5,2025
102,Retail,Data Scientist,"Hugging Face, Langchain, Azure, Scikit-Learn, Flask",Senior,2025-08-09,Large,76985-169306,76985,169306,123145.5,2025
103,Education,Quant Researcher,"Python, Pandas, Numpy, Mlflow",Entry,2025-02-26,Mid,129308-160166,129308,160166,144737.0,2025
104,Finance,Data Scientist,"Power Bi, Gcp, Scikit-Learn",Senior,2025-03-21,Mid,112263-190554,112263,190554,151408.5,2025
105,E-Commerce,Nlp Engineer,"Fastapi, Tensorflow, Numpy, Aws, Azure",Entry,2024-11-19,Mid,147332-158887,147332,158887,153109.5,2024
106,Automotive,Computer Vision Engineer,"Cuda, Pandas, Gcp, Langchain, Azure, Tensorflow",Mid,2025-04-04,Mid,54559-121736,54559,121736,88147.5,2025
107,Healthcare,Computer Vision Engineer,"Keras, Gcp, Sql",Senior,2023-10-03,Mid,91427-154726,91427,154726,123076.5,2023
108,Tech,Ai Product Manager,"Power Bi, Fastapi, Reinforcement Learning, Sql, Keras, Aws",Senior,2025-03-30,Large,120983-167455,120983,167455,144219.0,2025
109,Education,Ml Engineer,"Aws, Hugging Face, Flask, Cuda",Mid,2024-02-06,Large,108083-168433,108083,168433,138258.0,2024
110,Healthcare,Quant Researcher,"Azure, Mlflow, Excel, Cuda",Mid,2024-06-20,Mid,43248-86711,43248,86711,64979.5,2024
111,Education,Ai Researcher,"Sql, Flask, Numpy, Power Bi, Excel",Entry,2024-09-08,Large,73459-87186,73459,87186,80322.5,2024
112,Healthcare,Ai Researcher,"Gcp, Azure, Reinforcement Learning, Tensorflow, Cuda, Fastapi",Mid,2024-07-24,Large,94345-157493,94345,157493,125919.0,2024
113,Healthcare,Nlp Engineer,"Python, Fastapi, R",Mid,2024-08-28,Mid,113621-179602,113621,179602,146611.5,2024
114,Finance,Data Scientist,"Scikit-Learn, Pandas, Gcp, Python, R",Entry,2025-05-20,Mid,43828-137950,43828,137950,90889.0,2025
115,Tech,Quant Researcher,"Aws, Python, Gcp, R, C++, Fastapi",Senior,2025-06-17,Startup,118046-186961,118046,186961,152503.5,2025
116,Education,Nlp Engineer,"Numpy, Langchain, Excel, Keras",Entry,2024-03-17,Large,143236-210339,143236,210339,176787.5,2024
117,Automotive,Data Analyst,"Numpy, Scikit-Learn, Keras, Tensorflow, Hugging Face, Excel",Entry,2025-05-07,Large,70478-154317,70478,154317,112397.5,2025
118,E-Commerce,Data Analyst,"Tensorflow, R, Hugging Face",Mid,2024-04-05,Startup,69403-123368,69403,123368,96385.5,2024
119,Automotive,Nlp Engineer,"Python, Power Bi, Pandas, Mlflow, Keras, Scikit-Learn",Mid,2024-01-01,Mid,143437-196807,143437,196807,170122.0,2024
120,Retail,Nlp Engineer,"Pytorch, Gcp, Numpy, Python, Pandas, Keras",Entry,2025-08-10,Mid,59290-84926,59290,84926,72108.0,2025
121,Retail,Ai Researcher,"Sql, Excel, Python",Mid,2024-10-08,Mid,124112-141184,124112,141184,132648.0,2024
122,Finance,Ai Researcher,"Gcp, Keras, Azure, Sql, Scikit-Learn, Numpy",Entry,2024-07-10,Large,93411-137526,93411,137526,115468.5,2024
123,Finance,Computer Vision Engineer,"Azure, Tensorflow, Pytorch, Aws, Flask",Senior,2024-10-08,Startup,98592-132404,98592,132404,115498.0,2024
124,E-Commerce,Quant Researcher,"Hugging Face, Power Bi, Sql, Fastapi, C++, Reinforcement Learning",Mid,2023-10-31,Large,109693-136678,109693,136678,123185.5,2023
125,E-Commerce,Nlp Engineer,"Keras, Cuda, Tensorflow",Mid,2025-08-03,Startup,128381-173902,128381,173902,151141.5,2025
126,Tech,Computer Vision Engineer,"Sql, Aws, Power Bi",Mid,2025-04-07,Large,114132-129565,114132,129565,121848.5,2025
127,Finance,Quant Researcher,"Numpy, Cuda, Scikit-Learn, Keras, Excel, Pandas",Mid,2024-03-10,Large,117985-188287,117985,188287,153136.0,2024
128,Finance,Ai Product Manager,"Numpy, Pytorch, Fastapi, Cuda, Azure",Entry,2024-11-22,Large,98649-172840,98649,172840,135744.5,2024
129,Retail,Nlp Engineer,"Keras, Pandas, Mlflow, Scikit-Learn",Mid,2024-12-31,Mid,132259-223631,132259,223631,177945.0,2024
130,Education,Data Analyst,"Mlflow, Numpy, Scikit-Learn, Azure, Keras",Senior,2025-03-11,Startup,92116-122876,92116,122876,107496.0,2025
131,E-Commerce,Nlp Engineer,"Aws, Hugging Face, Python, Reinforcement Learning, Scikit-Learn, Langchain",Entry,2024-09-23,Large,111421-135658,111421,135658,123539.5,2024
132,Healthcare,Nlp Engineer,"Keras, Pandas, Tensorflow, Cuda",Mid,2025-02-09,Large,64185-77841,64185,77841,71013.0,2025
133,Automotive,Ai Researcher,"Power Bi, Cuda, Scikit-Learn",Senior,2025-04-23,Mid,114287-213324,114287,213324,163805.5,2025
134,Automotive,Ai Researcher,"Cuda, Reinforcement Learning, Tensorflow, Power Bi, Fastapi, Langchain",Senior,2025-09-01,Mid,67967-136114,67967,136114,102040.5,2025
135,Healthcare,Data Analyst,"C++, Mlflow, Tensorflow, Numpy, Excel, R",Entry,2024-02-29,Mid,119699-195649,119699,195649,157674.0,2024
136,Finance,Nlp Engineer,"Excel, Cuda, Gcp, Scikit-Learn, Python",Senior,2024-12-30,Mid,105893-197119,105893,197119,151506.0,2024
137,Education,Computer Vision Engineer,"Numpy, Mlflow, R, C++",Mid,2024-09-02,Mid,144509-185639,144509,185639,165074.0,2024
138,Finance,Ai Product Manager,"Aws, Gcp, R, Power Bi",Senior,2024-03-05,Startup,125979-196585,125979,196585,161282.0,2024
139,Healthcare,Ai Product Manager,"Azure, Hugging Face, C++, Scikit-Learn, Flask, Pandas",Mid,2024-01-14,Large,96804-161412,96804,161412,129108.0,2024
140,Retail,Data Analyst,"Sql, Aws, Pandas, Pytorch, Langchain, C++",Senior,2025-08-26,Startup,145387-192153,145387,192153,168770.0,2025
141,Automotive,Quant Researcher,"Aws, Pandas, Numpy, Langchain, Gcp, Flask",Entry,2025-06-07,Large,44646-126597,44646,126597,85621.5,2025
142,Healthcare,Ml Engineer,"C++, Pytorch, Numpy, Langchain, Aws, Keras",Mid,2024-05-14,Startup,61799-124735,61799,124735,93267.0,2024
143,Healthcare,Ai Product Manager,"Mlflow, Langchain, Power Bi, Scikit-Learn, Pandas",Entry,2025-04-04,Large,142495-193478,142495,193478,167986.5,2025
144,Education,Data Scientist,"Numpy, Tensorflow, Gcp, Langchain",Mid,2024-01-05,Startup,52111-123116,52111,123116,87613.5,2024
145,Retail,Data Analyst,"Scikit-Learn, Pytorch, Python, Gcp",Entry,2024-07-30,Mid,68548-93154,68548,93154,80851.0,2024
146,Education,Ml Engineer,"Langchain, Keras, Hugging Face, Scikit-Learn, Reinforcement Learning",Entry,2025-03-10,Large,82795-123262,82795,123262,103028.5,2025
147,E-Commerce,Ai Researcher,"Fastapi, Python, Pandas, Azure",Entry,2025-08-17,Mid,94239-122634,94239,122634,108436.5,2025
148,Retail,Nlp Engineer,"Power Bi, Flask, Gcp, Cuda",Mid,2023-12-19,Large,64790-95818,64790,95818,80304.0,2023
149,E-Commerce,Data Analyst,"Pytorch, Aws, Sql",Senior,2025-09-17,Startup,133389-145372,133389,145372,139380.5,2025
150,Automotive,Computer Vision Engineer,"Cuda, Python, Keras, Sql",Senior,2024-12-28,Mid,112241-126511,112241,126511,119376.0,2024
151,Education,Ai Researcher,"Numpy, Aws, Azure, Tensorflow, Cuda",Mid,2024-03-08,Startup,66955-108050,66955,108050,87502.5,2024
152,E-Commerce,Ml Engineer,"Python, Keras, Pytorch",Mid,2024-03-21,Mid,84480-167599,84480,167599,126039.5,2024
153,Finance,Ai Product Manager,"Tensorflow, Fastapi, Aws",Mid,2023-12-14,Mid,74795-159585,74795,159585,117190.0,2023
154,Education,Ai Researcher,"Cuda, Mlflow, Langchain",Mid,2024-07-27,Startup,128089-227314,128089,227314,177701.5,2024
155,Healthcare,Nlp Engineer,"Flask, Gcp, Azure, Reinforcement Learning, Pytorch",Mid,2024-06-04,Mid,59563-117049,59563,117049,88306.0,2024
156,Automotive,Data Analyst,"Pytorch, Power Bi, Tensorflow, Keras",Senior,2024-11-23,Startup,124014-215657,124014,215657,169835.5,2024
157,Education,Computer Vision Engineer,"Python, Langchain, Hugging Face, Excel, Flask, Reinforcement Learning",Senior,2025-06-23,Startup,82670-112083,82670,112083,97376.5,2025
158,Education,Nlp Engineer,"Flask, Keras, Hugging Face, Azure, C++, Sql",Senior,2025-01-02,Mid,99523-190227,99523,190227,144875.0,2025
159,Finance,Quant Researcher,"R, Numpy, Keras, Tensorflow, Python, Gcp",Mid,2025-09-14,Large,63560-115745,63560,115745,89652.5,2025
160,Education,Data Analyst,"Power Bi, Flask, Langchain, Excel, Mlflow",Mid,2025-03-16,Large,96246-127172,96246,127172,111709.0,2025
161,Education,Quant Researcher,"Fastapi, Azure, Power Bi, Cuda, Flask",Mid,2024-02-05,Mid,133411-230008,133411,230008,181709.5,2024
162,Healthcare,Nlp Engineer,"Mlflow, Excel, Langchain",Senior,2023-12-04,Large,44241-67386,44241,67386,55813.5,2023
163,Education,Ml Engineer,"Numpy, Scikit-Learn, Aws, Power Bi, Sql",Mid,2025-03-16,Startup,42621-93559,42621,93559,68090.0,2025
164,Finance,Nlp Engineer,"R, Keras, Numpy, Fastapi",Entry,2025-08-06,Mid,75069-172405,75069,172405,123737.0,2025
165,Healthcare,Ai Product Manager,"Keras, Gcp, Numpy, Aws",Mid,2025-04-14,Large,110005-156652,110005,156652,133328.5,2025
166,Healthcare,Computer Vision Engineer,"Hugging Face, Reinforcement Learning, Langchain",Senior,2025-09-16,Large,127733-156796,127733,156796,142264.5,2025
167,Tech,Computer Vision Engineer,"Langchain, Tensorflow, Aws, Reinforcement Learning",Senior,2024-04-16,Startup,81580-132667,81580,132667,107123.5,2024
168,Automotive,Data Analyst,"Fastapi, Reinforcement Learning, Hugging Face, Gcp, R",Entry,2024-10-18,Mid,46318-73935,46318,73935,60126.5,2024
169,Finance,Data Analyst,"Power Bi, Excel, Sql, Aws, Azure",Entry,2024-12-11,Startup,83360-173396,83360,173396,128378.0,2024
170,E-Commerce,Ml Engineer,"Fastapi, Aws, Pytorch",Mid,2025-05-02,Mid,50841-149011,50841,149011,99926.0,2025
171,E-Commerce,Ai Product Manager,"Cuda, Python, Keras",Senior,2025-03-15,Startup,84196-183723,84196,183723,133959.5,2025
172,Tech,Ai Researcher,"Flask, Azure, Hugging Face, Fastapi, Excel",Mid,2024-05-25,Mid,92704-181511,92704,181511,137107.5,2024
173,Tech,Data Scientist,"Tensorflow, Cuda, Reinforcement Learning, Flask, R",Entry,2024-01-31,Mid,61245-133612,61245,133612,97428.5,2024
174,Retail,Ai Product Manager,"Numpy, Mlflow, Python, C++, Azure",Mid,2024-08-01,Large,91839-153147,91839,153147,122493.0,2024
175,Tech,Ai Product Manager,"Numpy, Pytorch, C++, Mlflow, Tensorflow",Entry,2025-01-24,Mid,65330-149814,65330,149814,107572.0,2025
176,Automotive,Nlp Engineer,"Power Bi, Azure, Fastapi, Langchain, Numpy",Mid,2025-01-21,Mid,142316-210339,142316,210339,176327.5,2025
177,Finance,Quant Researcher,"Excel, Azure, Python, R, Hugging Face",Mid,2025-04-29,Mid,86369-153860,86369,153860,120114.5,2025
178,Healthcare,Ai Product Manager,"Power Bi, Mlflow, Numpy, Pandas",Senior,2025-08-01,Startup,123834-203953,123834,203953,163893.5,2025
179,Automotive,Ai Product Manager,"Langchain, R, Hugging Face, Scikit-Learn",Mid,2024-10-07,Mid,86874-127959,86874,127959,107416.5,2024
180,Retail,Ai Researcher,"Power Bi, Tensorflow, Azure, Cuda, Gcp, Pandas",Entry,2024-02-22,Startup,91853-143054,91853,143054,117453.5,2024
181,E-Commerce,Data Analyst,"Reinforcement Learning, Sql, Scikit-Learn, Aws",Senior,2025-05-23,Large,115282-183026,115282,183026,149154.0,2025
182,Finance,Nlp Engineer,"Scikit-Learn, Langchain, Hugging Face, Python",Mid,2024-06-08,Startup,100075-181375,100075,181375,140725.0,2024
183,Healthcare,Ai Researcher,"Python, Numpy, Flask, Langchain, R",Entry,2024-08-22,Startup,84286-155592,84286,155592,119939.0,2024
184,Automotive,Quant Researcher,"Pytorch, Python, Gcp, Mlflow",Senior,2024-03-26,Large,81464-148211,81464,148211,114837.5,2024
185,Education,Computer Vision Engineer,"Python, Mlflow, Azure, Tensorflow, Power Bi",Entry,2025-01-29,Mid,142464-186808,142464,186808,164636.0,2025
186,E-Commerce,Data Analyst,"Numpy, R, Mlflow, C++, Fastapi",Entry,2024-10-21,Large,121357-161420,121357,161420,141388.5,2024
187,Healthcare,Ai Researcher,"Excel, Cuda, Pandas",Mid,2024-01-20,Large,126266-151205,126266,151205,138735.5,2024
